title,dueDate,location,notes,link,typeOfOpportunity,approved,keywords
Emerging Composers Competition The Canticle Singers of Baltimore,15/07/2023 23:59,"Baltimore, United States","Emerging Composers Competition




The Canticle Singers of Baltimore is pleased to announce its second Emerging Composers Competition. Entries will be accepted from June 1, 2023, at 8:00 a.m. through July 15, 2023, at 11:59 p.m. The winner of the competition will receive a $750 cash award and their composition will be featured at the in-person and live-streamed Canticle Singers Winter Concert on December 1, 2023. They will receive a professionally mastered audio and visual recording of the performance.

Eligibility:




We feel it is important to lift up the voices of the next generation of composers, and we recognize that people may begin composing at any age. For the purposes of this contest, “emerging composers” may include those who have not received a major composition commission or award (e.g., awards or commissions in the multiple thousands of dollars, or of national or international repute, or have received publication contracts with major music publishers or record labels). If you are concerned about whether you qualify as an emerging composer, we encourage you or your teacher to reach out to 

canticlesingersbalt@gmail.com

 with any inquiries.

Criteria for Selection:




All entries will be reviewed by a jury consisting of 3 – 5 composers and conductors.




The scores should be anonymous. The entry form will NOT be seen by the judges. Please do not put your name anywhere on the composition.




Submissions must be:




original compositions (not arrangements of pre-existing tunes or carols, no revoicing of existing pieces)




scored for Women’s Choir (SSA, SSAA, and SSAA divisi).




2-5 minutes in duration




either a cappella or piano and/or approved solo instrument(see the list here: 

https://docs.google.com/document/d/1y-al2ffusDaAei9W3N_Yu_23fcoGmnDS-bqr...

)




The work may utilize any style, genre, or text that would be appropriate for a winter concert. Composers using copyrighted texts must have permission from the relevant author/publisher.




Though the submitted works may be previously performed, they should not have previously received an award or monetary commission for that piece.




Submissions are limited to one entry per composer.




Submission Process:




Submissions are free for the entering composer




Applicants should complete this form by 11:59 p.m., July 15, 2023.: 

https://docs.google.com/forms/d/e/1FAIpQLSdpSPbplBjfvUuXI7xjh-ZLzCtLNGHr...




Submitted with this form should be a PDF file of an anonymous score. The applicant’s name should not appear on the score.




Additionally, applicants should submit a brief, one-page resume with their musical experience.

Important Dates:




July 15, 2023, 11:59 pm – submissions due




September 8, 2023 – the winning score and composer will be announced. Please note: the organization reserves the right not to award a winner.




December 1, 2023 – the winning composition will be premiered as part of the Canticle Singers winter concert on the Music at St. David’s concert series.

The winning composer will receive $750, an audio/video recording of the work, and free tickets to the performance. Please note: Additional travel and housing costs are not covered by the award.

Please send all inquiries to 

canticlesingersbalt@gmail.com

. To learn more about us, please visit our website at 

www.Canticlesingers.org

.",https://canticlesingers.org/about-us/emerging-composer-competition/,"[""Contest""]",FALSE,"[""compose"",""commission"",""music"",""piano"",""solo"",""singer"",""composition"",""performance"",""competition"",""teach"",""teacher"",""composer""]"
Sacrarium Competition Composers 8th Edition,17/09/2023 23:59,"Lviv, Ukraine","SACRARIUM | Sacred music in our time International Composers’ Competition 2023 – 8th Edition




Category : News

KLKNEWMUSIC

SACRARIUM | Sacred music in our time

Lviv Chamber Choir – KLK Symphony Orchestra

International Composers’ Competition 2023 – 8th Edition




City: Lviv (Ukraine)




Sponsored by : Lviv Philharmonic Society




Date: 15 > 19 October 2023

The International Composers’ Competition SACRARIUM was born from the idea to create a project that will work on meeting the contemporary music of our time, with the writing of sacred music that combines musical genres associated with a sacred or religious theme.

All composers who wish to participate into the International Composers’ Competition SACRARIUM 2023 must write an original work for mixed chamber choir and string orchestra, associated with a religious theme, or tied to a specific liturgical function or must write a music inspired to elevate our souls to God, even without being embedded in a context of religious practice.

The 8th International Composers’ Competition SACRARIUM 2023 is open to all composers of any age and nationality, who want to share their musical and personal journey, attend seminars and opportunities for discussion, on the sacred art of our time, on the contemporary sacred music and on the figure of the Composer in this Third Millennium. The organization will select 12 composers who will have the opportunity to participate into the International Composers’ Competition SACRARIUM 2023 from 15 to 19 October in the city of Lviv (Ukraine), inside Organ Hall.

The 12 composers’ selected works will be performed in the final concert of the event by KLK Orchestra and Lviv Chamber Choir.

The concert will be recorded by a sound engineer with the selected works. A movie director will make a video of the concert. The rehearsals will be video recorded in streaming by the page Klknewmusic on Facebook.

The International Music Composers’ Competitions is open to a maximum of 12 composers of whatever age or nationality.




Each composer must submit – deadline: 17 September 2023 – a music score chosen in the following categories:

a) symphonic orchestra (2 fl, 2 ob,2 cl, 2 fg, 2 tr, 2 cor, 3 trb,1 tb, 1 harp, 2 perc, 8 vl I, 6 vl II, 4 vle, 4 vc, 3 cb) 46 players;




b) soprano and  symphonic orchestra;




c) soprano, chamber choir and  symphonic orchestra.




The sacred text can be chosen from the Old and New Testament in latin or english.

The work must not exceed 12 minutes.

Deadline: 17 September 2023.




All score will be sent by email (only one work for composer), in PDF format, to 

klknewmusic@gmail.com

.

Each email sent to submit a score shall include:




– The score and orchestral parts must be in A4 format, (please indicate minutes of the score) as PDF file (Sibelius or Finale program);




– A second PDF-file containing the identity of the composer (name and address, nationality, telephone number, email, website, short CV)




and a statement by the composer stating that the submitted work has never before been published, performed in public and/or broadcast before,




nor prized in any composer’s competition. Another file format than PDF are not acceptable and will result in the submission being rejected!




There is no registration form.




The Composition Staff will select the best composers, from all the applications submitted, no later than 19 September 2023.

ENTRY FEE

The tuition fee for all participants selected is €1100 (euro 1100):

€1100 + 5% tax to be paid no later than 23 September 2023 by Paypal on email klknewmusic@gmail.com;

The tuition fee includes:

participation at rehearsals and check sound in streaming, during the period 15 > 19 October 2023;




The final concert in Organ Hall with the works selected and performed by Lviv Chamber Choir and KLK Symphony Orchestra;




professional audio/video recording of the final concerts;




certificate of participation.




The tuition fee does not include:




-Food




-Accommodation




-Flight.

The administrative secretary for the International Music Composers’ Competition SACRARIUM 2023 is Ms. Anastasiya Kodola.




For any questions about the tuition fee and payment method write to 

anastasiakodola@gmail.com

.




Please send a PDF file with your payment check to 

klknewmusic@gmail.com

.

COMPOSITION STAFF

Carlo Pedini (ITA) – President

Denys Lytvynenko (UKR) – Composer

Domenico Clapasson (ITA) – Composer

Ferdinando Nazzaro (ITA) – Composer, Artistic Director KLKnewmusic

Three prizes will be awarded.




1 Prize – 1200 EURO, and the score published by Aldebaran Editions.




The Composition Staff reserves the right not to award the prize and to award Special Mentions of merit.",https://klknewmusic.com/sacrarium-sacred-music-in-our-time-international-compose...,"[""Other""]",FALSE,"[""compose"",""harp"",""music"",""arts"",""string"",""organ "",""composition"",""orchestra"",""project"",""prize"",""competition"",""composer""]"
VOCES8 Composition Competition 2023,12/05/2023 23:59,Online,"VOCES8 Composition Competition 2023




Important information and how to enter




Competition Rules




- Only one work may be submitted per composer.




- Entries must be the composer’s original work - arrangements are not allowed.




- Pieces must be able to be performed live by the eight singers of VOCES8, without any additional




instruments or technology.




- Entries must not have received any sort of prior public performance or recording, and must be




unpublished.




- Pieces should take no longer than 4 minutes to perform, based on a metronome mark at the head of the




score. Substantial speed changes should be given a new metronome mark.




- The text set must be in English and must be in the public domain.




- Entries must be submitted anonymously (see detailed instructions below).




- The decision of the judging panel is final and no correspondence will be entered into regarding the




outcome of the competition.




- By entering the competition you agree, if chosen as the winner, to take part in post-competition publicity




and to your name being publicly known.




- By entering you agree to abide by these rules. Entries which do not comply will not be considered.




Tips on writing for VOCES8




The group consists of 8 voices in the arrangement SSACtTTBarB. Individual ranges are as follows:




- Andrea (Soprano 1) - C4 to D6




- Molly (Soprano 2) - A3 to C6




- Katie (Alto) - G3 to F5




- Barney (Countertenor) - G3 to E5 (Additional Bass-baritone range for harmonic filler E2 to G3)




- Blake (Tenor 1) - Eflat3 to Bflat4




- Euan (Tenor 2) - C3 to A4




- Chris (Baritone) - E2 to Fsharp4




- Dominic (Bass) - Eflat2 to D4




This represents the extremities of our ranges and might be better thought of as a guideline, rather than a




challenge!




We encourage composers to explore the possibilities of different textures that this arrangement of voices




allows. For example, VOCES8 often sings music in a double choir format, with two quartets of SATB. We




pay a lot of attention as a group to the “fundamentals” of a cappella singing such as the balance, tuning




and voicing of chords, and creating a blended group sound while also finding moments to bring out our




individual vocal colour. Furthermore as singers, we are lucky to work with text. We enjoy singing music that




expresses texts in innovative and nuanced ways while retaining a clarity of overall message.




How To Enter - please read carefully




Please email a full score as a pdf file to composers@voces8.foundation. This can be computer-typeset or




handwritten, but must clearly contain all instructions necessary to perform the piece, without additional




typesetting. Sending an mp3/midi mock-up with your score is strongly encouraged but not essential.




So that all entries can be judged anonymously you must submit your work under a pseudonym, which




should appear both at the top of the score and in the file name. Take care to ensure your real name does




not appear anywhere on the score or in the file name. In the body of the email, please state the following




information: your real name, age, and the country you live in. Your email address and personal information




will only be seen by an administrator outside the judging panel, in order to preserve anonymity in the




judging process. We will contact the winner via the email address used to enter, so please use an account




you check regularly.




The deadline for entries is Friday 12th May, 23:59 BST. You will be notified if your piece has been




selected for consideration by the judging panel by Monday 22nd May and the winner will be contacted by




Friday 2nd June.",https://voces8.com/composer-competition,"[""Other""]",FALSE,"[""bass"",""compose"",""harp"",""music"",""singer"",""composition"",""performance"",""competition"",""vocal"",""composer""]"
V International Uuno Klami Composition Competition,04/12/2023 23:59,"Monaco, Monaco","The aim of the V International Uuno Klami Composition Competition is to produce good new repertoire for a small orchestra of sinfonietta type: works the performance of which will not necessitate the costly hiring of many extras or unusual, difficult-to-find instruments.

The competition will culminate in finals concerts at which the results will be announced and the prizes awarded. These concerts will be held in the autumn 2024 season in Kouvola and Kotka, two towns in the Kymenlaakso region of Southeast Finland where Uuno Klami was born, and the results will be announced and the prizes awarded after the finals concert in Kotka. The orchestra at these concerts will be the Kymi Sinfonietta.

a) Participation in the competition is confined to Europe only. Contestants must be citizens of a Nordic country, of an EU Member State or of Albania, Andorra, Bosnia-Herzegovina, Kosovo, Liechtenstein, Macedonia, Moldavia, Monaco, Montenegro, San Marino, Serbia, Switzerland, Ukraine, the United Kingdom or the Vatican City State. Citizens from other countries must be permanently resident in one of the countries listed above and produce documentary evidence of their right to permanent residence. There is no age limit.

b) The competition entries must be scored for a smallish orchestra of sinfonietta type of not more than 2222/2200/01/0/ archi (maximum 6/5/4/4/2). In other words, the orchestra may consist of not more than the following:

2 flutes (piccolo or alto flute permissible instead of the 2nd flute), 2 oboes (cor anglais permissible instead of the 2nd oboe), 2 clarinets (E-flat clarinet permissible instead of the 1st clarinet and bass clarinet instead of the 2nd), 2 bassoons (double bassoon permissible instead of the 2nd), 2 French horns, 2 trumpets, 1 percussion player, 6 I violins, 5 II violins, 4 violas, 4 cellos and 2 double basses. Not more than two additional instruments may be included, one of which may be a solo instrument or voice. These additional instruments must be acoustic ones (but not organ). The use of electronics and tapes is not allowed. The orchestra may be smaller than that specified above on condition that it comprises at least 20 players and does not exceed the maximum stated for each instrumental section. Works that do not comply with these specifications will be disqualified.

c) Works entered for the competition must not have been previously published or performed. Only one entry is permitted per composer. Composers awarded a prize in a previous International Uuno Klami Composition Competition may not enter for the competition again, but the parti-




cipation of composers whose works have been selected for the recommended list is permitted. The work must be 15–30 minutes long. The composer’s estimate of the duration must be marked in the score.

d) Entering the competition:




Compositions must be submitted to the Competition Office anonymously, under a pseudonym, in five identical copies and postmarked December 4, 2023 at the latest. Any entries bearing a later postmark will be disqualified. The first page of the score must indicate whether it is in C or transposing. The entry must be accompanied – in a separate, sealed envelope – by the entry form giving the following information: the name of the work, and the composer’s name, age, gender, postal address, telephone number (incl. international dialling codes), email address, nationality and signature indicating that he/she agrees to abide by the competition rules and the Jury’s decisions. The composer must also affirm that neither the work nor any part of it has previously been performed. A document proving permanent right of residence must be appended where applicable.

At the first assessment stage in early spring 2024 the Jury will choose at least three but not more than five of the anonymous entries for performance in the finals. The names of the finalists will then be announced and the finalists will be invited to attend the rehearsals for and premieres of their works. At this stage they will also be presented to the media. The finalists will be personally responsible for the costs incurred by them in attending the finals concerts (travelling expenses, accommodation). The competition will assist with travel and accommodation arrangements. The Jury will not place the works in order of merit until after they have been performed at the rehearsals and the finals concerts in autumn 2024.

e) The Jury will consist of composer Kalevi Aho (Chairman, Finland), composer Magnus Lindberg (Finland), composer Lotta Wennäkoski (Finland), composer Mats Larsson Gothe (Sweden) and, at a later stage, a conductor member Anna-Maria Helsing.

The following prizes will be awarded:




I €11,000 / II €9,000 / III €7,000

Various sponsors will also be approached with a view to their awarding special prizes.




The Jury will have the right to divide the prizes in some other way.

f) The organisers reserve the right to premiere the winning works at the concerts in autumn 2024. The copyrights will remain with the composers. The organisers will have the right to broadcast, record, video, televise, film and photograph the competition performances and the finals concerts and to make sound and video recordings of these. The scores of all the works in the competition will be placed in the archive of the Uuno Klami Composition Competition Committee. Scores will not be returned to the composers. The Kymi Sinfonietta will have the right to perform works at a later date. All the composers will be informed in person whether or not they have reached the finals.

g) Entries should be sent to

The V International Uuno Klami Composition Competition




c/o Kymi Sinfonietta




Keskuskatu 33




FI-48100 Kotka




Finland

Further details of the competition are available from the Competition Office:




Ms Reetaliina Marin, Executive Director




Tel. +358 50 324 0058




Email: 

klamicompetition@kymisinfonietta.fi




Internet: 

www.klamicompetition.fi

The original language of these rules is Finnish. Any disputes will be solved on the basis of the Finnish text.",https://klamicompetition.fi/en/rules-entry-2023-2024,"[""Contest""]",FALSE,"[""oboe"",""viola"",""flute"",""double bass"",""cello"",""cor anglais"",""bass clarinet"",""piccolo"",""percussion"",""solo"",""composition"",""bassoon"",""orchestra"",""alto flute"",""clarinet"",""french horn"",""trumpet"",""performance"",""composer"",""electronic"",""bass"",""compose"",""violin"",""competition"",""prize""]"
VI International Musical Composition Contest Royal Academy of Fine Arts of San Carlos,08/09/2023 23:59,"Valencia, Venezuela","VI International Musical Composition Contest




Royal Academy of Fine Arts of San Carlos




CALL RULES

1. The call is open to all composers of any nationality, without age limit and who have not been awarded in any previous edition. Each composer may present only one work. The work presented must be original by the author, be unpublished, not have been the result of a paid commission or awarded in any other contest, not have been previously performed in concert or public act, not even any of its parts (if any), neither with the current title nor with any other, nor retransmitted by any means of diffusion.

2. The works must be written for transverse flute (the one used in the symphony orchestra, in C) and Piano. Electroacoustic media will not be accepted. No other types of flutes may be used in the submitted work. The duration of the compositions must be between 12 minutes minimum and 20 minutes maximum, and may have one or more movements. Works that do not have the stipulated duration will be disqualified.

3. Three copies of the general score and a set of the two materials (part of the flute and score for the pianist, with the part of the flute included) will be sent correctly prepared so that the work can be interpreted with them without problems of reading. The scores and materials must be properly bound and be perfectly legible. If any of these two conditions is not met in the judgment of the jury, the work will be disqualified.

4. In order to preserve the composer's anonymity, the work must be presented with a title and a motto chosen by the author as the only identifying data. Accompanying the score and materials will include an externally identified envelope with the title of the work and the motto. Inside the envelope must include the name, surname, address, email, contact telephone number, photocopy of the national identity document or passport and brief curriculum of the author. A signed declaration will also be included, in which it is stated that the work presented is original by the author, is unpublished, has not been the result of a paid commission or awarded in any other contest, has not previously been performed in concert or public act, not even any of its parts (if it had any), neither with the current title nor with any other, nor retransmitted by any means of diffusion. In the event that, after the submission of the work, and before the jury's decision, the work is the winner in another contest, the participant must immediately notify this fact to the Royal Academy, as this would automatically invalidate their participation in the competition. contest. The contestant who breaks the anonymity will be excluded.

5. The deadline for submitting the works begins on the day these bases are published on the Royal Academy website, and will end on September 8, 2023, inclusive. The documentation must be delivered with acknowledgment of receipt, or sent by certified mail to the following address:

VI International Musical Composition Contest Royal Academy of Fine Arts of San Carlos. C/ San Pío V, 9 – 46010 Valencia. Spain

In the case of mailing, the postmark of the shipment will be considered the delivery date. Works that do not fall strictly within the submission period will be disqualified.

6. A single prize of 4,000 euros is established, subject to the current tax withholding. The Jury may, unanimously, declare the Contest Prize void if the quality of the works presented is not considered sufficient.

7. The Jury will be appointed at the proposal of the Music Section of the Royal Academy of Fine Arts of San Carlos and approved by the General Board of the Academy. The decisions of the Jury will be final. The jury's decision will be made public as of October 18, 2023. Only the name of the winning composer will be made public, who will be informed immediately. The original score will remain in the possession of the Royal Academy. The rest of the participants will be able to know the result through the website of the Royal Academy of Fine Arts of San Carlos:

https://realacademiasancarlos.com

8. The absolute premiere of the winning work will take place during the first quarter of 2024 in the Assembly Hall of the San Carlos Royal Academy of Fine Arts, which reserves the right to choose the performers who will offer their first audition.

9. El autor de la obra premiada se compromete inexcusablemente a acudir al acto de entrega del premio en la sede de la Real Academia de Bellas Artes de San Carlos de Valencia, haciéndose cargo la Institución únicamente del alojamiento. En el caso de no poder asistir al estreno de su obra, el compositor ganador será desposeído de la cuantía económica del premio. Dicho de otro modo, para poder recibir los 4.000 € del premio es imprescindible su presencia en el acto del estreno de su obra en el Salón de Actos de Academia.

10. The author of the winning work obligatorily undertakes to state in any publicity for it, as well as in all recordings, editions and programs that include the performance of said work, the following inscription: Prize of the VI International Musical Composition Contest Royal Academy of Fine Arts of San Carlos.

11. The non-awarded scores will be returned by ordinary mail, upon request of the participants. To do this, the request must reach the Royal Academy before November 10, 2023. Unclaimed scores will be destroyed by the Royal Academy within 2 months from November 10, 2023. 12.




Copyright property will remain in the power of the author of the work.

13. In the event that the work presented includes musical fragments or texts owned differently from that of its author (except when they are made by way of appointment, under the terms of article 32 of the Intellectual Property Law), Said fragments or said texts must appear written in the score and the materials, as well as the corresponding permissions must be accredited. In all cases, any responsibility will be entirely of the authors.

14. The Royal Academy of Fine Arts of San Carlos disclaims any responsibility derived from plagiarism or any other transgression of the current legislation on intellectual property in Spain, which the contestants may incur with their works. Nor will it be responsible for any material lost or damaged in its shipment.

15. Participation in this contest implies unconditional acceptance of these rules, the jury's decision being final. The interpretation of the bases will be the exclusive competence of the jury.",https://realacademiasancarlos.com/bases-concurso-internacional-de-composicion/,"[""Contest""]",FALSE,"[""compose"",""commission"",""music"",""piano"",""arts"",""performer"",""composition"",""orchestra"",""performance"",""prize"",""flute"",""competition"",""composer""]"
International Competition for Symphonic Composition Dante 700,17/07/2023 23:59,"Milan, Italy","International Competition for Symphonic Composition Dante 700




Deadline: 17 July 2023 10:45




The Camerata Strumentale Città di Prato and the Florence Philharmonic Orchestra – la Filharmonie are announcing the second edition of the International Competition for Symphonic Composition Dante 700 – “La dolce sinfonia di paradiso”.

The submitted scores shall draw inspiration from the Canto XI of Paradise (Divine Comedy, Canticle III) with particular focus on the figure of Saint Francis of Assisi and specific reference to verses 28-120 addressing the themes of Peace and Poverty.

The competition is open to composers of any nationality, with no age limit, who are required to compose a symphonic piece (optionally with solo voice and/or live electronics) of maximum 15 minutes duration. A prestigious international jury will oversee the entire process and distribute three cash prizes .

The composers of the three finalist scores are invited to attend and collaborate in the rehearsals prior to the awards concert.

The three finalists' compositions will be performed by Camerata Strumentale Città di Prato and the Filharmonie conducted by Nima Keshavarzi in the final concert open to the public at Teatro Politeama Pratese. At the end of the concert, the jury will determine the winner, whose composition will be published in the series Stilnovo by Edizioni Musicali Curci in Milan, promoted by CIDIM.

Prizes

First prize: €5,000.




Second prize: €3,000.




Third prize: €2,000

For complete regulations and to apply: 

https://www.lafilharmonie.com/en/dante-700-2/",https://www.lafilharmonie.com/en/dante-700-2/,"[""Other""]",FALSE,"[""electronic"",""compose"",""music"",""solo"",""composition"",""orchestra"",""prize"",""competition"",""composer""]"
Jerome Hynes Young Composers’ Award,05/05/2023 23:59,Online,"NCH : Jerome Hynes Young Composers’ Award 2023




Deadline: 5 May 2023 17:00




Applications are now open for the Jerome Hynes Young Composers’ Award 2023, an award of €2,500 for the commission of a new work to be premiered at the NCH. 

This award is for the commission of a new work, which will be premiered at the National Concert Hall, giving the young composer a platform to showcase their talent.

Entry Requirements

Check what you will need to apply for the competition -

Entrants must be 30 years old or younger on 5th May 2023. They must be Irish or living in Ireland;




Entrants must submit the scores of two existing original pieces, at least one of which must be for voice and piano – all names and identifying features must be removed from the scores before applying for the Award;




Scores must be submitted in pdf format;




An audio recording of the two submitted pieces is ideal but not essential;




Judging will be anonymous; the composer’s name must be removed from the scores before submitting, if not the application will be disqualified;




Previous winners of this competition are not eligible to enter;




€2,500 will be awarded to the winning composer;




Only one application per composer will be accepted;




The judges’ decision is final and is not open to appeal;




The winning composer will retain the copyright of the commissioned work;




The submitted compositions must be the work of the original entrant.




All entry material must be received by 5pm on Friday 5th May 2023. 

To apply: 

https://nchlearningandparticipation.wufoo.com/forms/jerome-hynes-young-c...",https://www.nch.ie/Online/default.asp?BOparam::WScontent::loadArticle::permalink...,"[""Other""]",FALSE,"[""compose"",""commission"",""piano"",""composition"",""competition"",""composer""]"
West Wicklow Chamber Music Festival - Composition Competition 2023,22/09/2023 23:59,Online,"Composition Competition 2023




Mon 12 Dec 2022




The West Wicklow Chamber Music Festival is delighted to announce details of its Composition Competition 2023 for emerging composers, in partnership with the Contemporary Music Centre, Ireland.

This year there are two separate awards and competition entrants are invited to submit a piece of between circa 3-5 minutes duration.

Pieces should be written for either (i) flute and piano or (ii) brass quintet (2 trumpets, horn, trombone and tuba).

Entry is free and open to emerging/early career composers (i.e. composers who have not had works professionally published to date) currently based on the island of Ireland or holding Irish citizenship. In particular we would like to encourage applications from emerging/early career composers working in all genres from under-represented and under-served communities.

The winning composers will receive:




A prize of €500 each (one prize for flute/piano work and one prize for brass quintet work).




World premiere performance of the winning works at the West Wicklow Chamber Music Festival’s “Rising Star” recitals on Saturday 20th May 2023 (winning work for flute and piano), and on Saturday 11th November 2023 (winning work for brass quintet) performed by the festivals selected rising stars.




A pre-concert Composer’s Voice interview with the winning composer and the performers, presented by the Contemporary Music Centre, Ireland.




Collaboration and rehearsal with the performers. The competition will accommodate additional supports for selected composer(s) who are disabled and/or who have other specific needs to facilitate rehearsal with the performers.




Inclusion in festival publicity.




Application criteria:




The work should not have been previously performed in public prior to its world premiere at the festival.




The competition is open to composers of all ages and backgrounds currently based on the island of Ireland or holding Irish citizenship who would describe themselves as ‘emerging/early career composers’ (i.e) (composers who have not had works professionally published to date). In particular we would like to encourage applications from emerging/early career composers working in all genres from under represented and under-served communities.




Entrants can submit works to both categories, but only one work per category.




Entries will be judged anonymously.




The adjudication panel will be selected by the Festival and the Contemporary Music Centre, Ireland. It will consist of one representative from the Festival as well as two independent adjudicators, at leastone of whom will be from an under-represented and/or under-served communities working in the areas of contemporary music and composition.

How to apply:




Entries should be submitted via our online Application Form: 

https://form.jotform.com/223311490607348




Proof of Irish citizenship or current residency plus the title, MIDI file and PDF score of the new work must be uploaded.




In order to ensure that entries are judged anonymously, the festival will only accept entries of scores with no mention of a composer’s name / address.




Deadlines:




Friday 24th March at 5pm (work for flute and piano)




Friday 22nd September at 5pm (work for brass quintet)",https://www.westwicklowfestival.com/news/composition-competition-2023,"[""Residency""]",FALSE,"[""compose"",""music"",""piano"",""trombone"",""performer"",""composition"",""prize"",""performance"",""trumpet"",""flute"",""competition"",""tuba"",""composer""]"
Land of Lakes Call for Scores,01/06/2023 23:59,"Toronto, Canada","The Untitled Ensemble Chamber Music Society is pleased to present their inaugural Land of Lakes call for Chamber Music scores from self identifying early-career composers. 

The selected scores, up to 4  from each category, will be performed as part of our 2023/24 season. More details at 

https://www.untitledensemble.ca/Land-of-Lakes-call-for-scores

 

We actively encourage composers of all backgrounds, ethnicities, genders and orientations who are in the early stages of their career or who have had difficulty getting their works noticed or performed to apply. As an ensemble we are committed to presenting at least 50% works by women and non-binary composers in each concert, and mechanisms are in place to support this mandate once we've selected our finalists.

Deadline




June 1, 2023 7pm EST

Score requirements




You may submit new or existing works regardless of whether or not they have received a premiere or not.




You must submit a full score of the work for submission.




Recordings of submissions are encouraged.

Extended techniques, electronics




If you wish to submit works with extended techniques or electronics, you must include detailed instructions for the player(s) and provide any equipment needed for the electronics components. Set up instructions must be included as needed. Any electronics involvement during the piece must be done by the instrumentalists, and must not require a separate sound technician, other than to start a pre-recorded track.

Ensemble categories




We are accepting scores in two categories and will select 4 works from each. The ensemble categories are as follows:

Category 1: trumpet x 2, french horn, trombone, bass trombone or tuba




Category 2: violin x 2, viola, cello




You can use between 2 to all of the instruments listed in each category.

Length




Submissions should be between 10 - 20 minutes. You may submit a single movement of a longer piece if you wish.

Program note or description of the piece




Provide a program note or description of the submitted piece. Indicate if it is part of another work, and any other details you would like to see included in a program.

Between 100 - 500 words max.

Application Method




You may submit via our online form, by email, or by mail before the deadline. Only one submission method is necessary (pick the most convenient for you).

Online




Complete our submission form here Land of Lakes Call for Scores Submission Form 

https://forms.gle/Z9NEnjrtUXGCmP4o7

 

OR

Submit your score via email to 

theUntitledEnsemble@gmail.com

 

Deadline for emailed scores is June 1, 2023 at 7pm EST.




In the title of the email include “Land of Lakes Call for scores submission”




In the body of the email include:




The category you are submitting to




Links to submission material. Links must remain active until July 10, 2023.




Any passwords required to view or download the material




Phone number where you can be reached




 Attach:




Program note or description




Files if small enough to transmit over email (otherwise link to streaming or download site)




Format




Name your score submissions in the following way:




LastName_FirstName_LoLCall_score.pdf




Name your audio submissions in the following way if they can be downloaded:




LastName_FirstName_LoLCall_score.mp3/wav




By mail




Physical copies of scores may be mailed to:

Untitled Ensemble Chamber Music Society




1 King Street West




48th Floor Suite 4800-85




Toronto Ontario M5H 1A1

Deadline for the arrival of mailed scores is June 1, 2023 at 7pm EST.




Please do not request a signature on delivery.




If you want your materials to be returned to you, include a self addressed envelope with sufficient postage affixed for return of materials.




Include:




Contact information: full name as you would like it printed on programs, phone number and email.




Score materials: may be double sided, and can be stapled, or bound.




Optional: recordings -  if they are included should be in the form:




Link to a download of the file printed on a separate sheet of paper. Links must remain active until July 10, 2023.




USB stick with only the relevant files included",https://www.untitledensemble.ca/Land-of-Lakes-call-for-scores,"[""Other""]",FALSE,"[""electronic"",""tuba"",""bass"",""french horn"",""compose"",""violin"",""music"",""trombone"",""call for score"",""viola"",""trumpet"",""instrumentalist"",""cello"",""composer"",""bass trombone""]"
Call for electronic works for an electronic concert at Texas Tech University,30/08/2023 23:59,Online,"Call for electronic works for an electronic concert at Texas Tech University

A call for electronic works (fixed media) no longer than ten minutes has been issued by the School of Music at Texas Tech University. In a one-hour concert, the selected compositions will be performed. The call for works was created specifically for an electronic concert at Texas Tech University. Video is encouraged, but instruments/voices or live electronics are not accepted. Composers are encouraged to participate in the November concert in Lubbock, Texas, but it is not a requirement. The received works will be archived, and they may be played at future Texas Tech University concerts. Email will be used to send the results.

To participate in the ""Call for electronic works"" you must submit the following documentation to 

call4electronicworks@gmail.com

The submission should be included a biography, a program notes, personal data sheet, and the audio or video work. Please upload your files on google drive and send a permanent link.

Personal data sheet:




Full Name




Last Name




Date and place of birth




Citizenship




Address




E-mail




Mobile




Date




Signature 

The call is open to composers of any age, gender, race, nationality, or career stage.




Deadline for call for electronic works is August 30th, 2023.




There is no admission fee.




Audio submissions must be in either AIFF or WAV file format.




Any questions regarding the call for works can be addressed to: 

call4electronicworks@gmail.com




Deadline: 30 August 2023




Entry Fee: 0",,"[""Other""]",FALSE,"[""electronic"",""compose"",""music"",""composition"",""composer""]"
